SID,Name,GroupNM,Group,Block1,Epoch,Trial,Load,Congruent,Target,Color,Direction,Response,Correct,RT
109,KMY,low,1,1,1,1,1,1,1,1,1,1,1,0.9882
109,KMY,low,1,1,1,2,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,3,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,4,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,5,1,2,1,1,2,1,1,0.3264
109,KMY,low,1,1,1,6,1,1,1,1,1,1,1,0.3118
109,KMY,low,1,1,1,7,1,2,1,1,2,1,1,0.2683
109,KMY,low,1,1,1,8,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,9,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,10,1,2,1,1,2,1,1,0.2585
109,KMY,low,1,1,1,11,1,2,1,1,2,1,1,0.3081
109,KMY,low,1,1,1,12,1,1,1,1,1,1,1,0.2950
109,KMY,low,1,1,1,13,1,1,1,1,1,1,1,0.3154
109,KMY,low,1,1,1,14,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,15,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,16,1,1,1,1,1,1,1,0.3067
109,KMY,low,1,1,1,17,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,18,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,19,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,20,1,2,1,1,2,1,1,0.3171
109,KMY,low,1,1,1,21,1,2,1,1,2,1,1,0.3344
109,KMY,low,1,1,1,22,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,23,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,24,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,25,1,1,1,1,1,1,1,0.3779
109,KMY,low,1,1,1,26,1,1,1,1,1,1,1,0.3328
109,KMY,low,1,1,1,27,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,28,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,29,1,0,0,2,1,0,1,0.0000
109,KMY,low,1,1,1,30,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,31,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,32,1,2,1,1,2,1,1,0.3452
109,KMY,low,1,1,1,33,1,1,1,1,1,1,1,0.3002
109,KMY,low,1,1,1,34,1,2,1,1,2,1,1,0.2867
109,KMY,low,1,1,1,35,1,2,1,1,2,1,1,0.3049
109,KMY,low,1,1,1,36,1,1,1,1,1,1,1,0.2627
109,KMY,low,1,1,1,37,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,38,1,2,1,1,2,1,1,0.2999
109,KMY,low,1,1,1,39,1,0,0,2,2,0,1,0.0000
109,KMY,low,1,1,1,40,1,1,1,1,1,1,1,0.2720
