SID,Name,GroupNM,Group,Trial,Probe,Response,Correct,RT
109,KMY,low,1,1,1,1,1,0.9006
109,KMY,low,1,2,1,1,1,0.6194
109,KMY,low,1,3,1,1,1,0.6879
109,KMY,low,1,4,2,2,1,1.0132
109,KMY,low,1,5,2,2,1,0.8274
109,KMY,low,1,6,2,2,1,0.6391
109,KMY,low,1,7,2,1,0,0.9133
109,KMY,low,1,8,2,2,1,0.8239
109,KMY,low,1,9,1,1,1,0.7638
109,KMY,low,1,10,2,2,1,0.7916
109,KMY,low,1,11,1,1,1,0.5882
109,KMY,low,1,12,1,1,1,0.7223
110,LJE,low,1,1,1,1,1,0.7708
110,LJE,low,1,2,1,1,1,0.8408
110,LJE,low,1,3,1,1,1,0.8778
110,LJE,low,1,4,2,2,1,1.0769
110,LJE,low,1,5,2,2,1,0.9552
110,LJE,low,1,6,2,2,1,1.1819
110,LJE,low,1,7,2,2,1,0.7846
110,LJE,low,1,8,2,2,1,0.9143
110,LJE,low,1,9,1,1,1,0.5371
110,LJE,low,1,10,2,2,1,0.9809
110,LJE,low,1,11,1,1,1,0.6493
110,LJE,low,1,12,1,1,1,0.8140
111,KJH,low,1,1,2,2,1,1.1135
111,KJH,low,1,2,1,1,1,1.1512
111,KJH,low,1,3,1,1,1,0.8994
111,KJH,low,1,4,2,2,1,1.4319
111,KJH,low,1,5,1,1,1,1.3098
111,KJH,low,1,6,2,2,1,1.1228
111,KJH,low,1,7,2,2,1,0.9419
111,KJH,low,1,8,2,2,1,0.9770
111,KJH,low,1,9,1,1,1,0.6632
111,KJH,low,1,10,2,2,1,0.9447
111,KJH,low,1,11,1,1,1,0.7261
111,KJH,low,1,12,1,1,1,0.5708
112,LSH,low,1,1,2,2,1,1.7938
112,LSH,low,1,2,1,1,1,1.5118
112,LSH,low,1,3,1,1,1,1.0690
112,LSH,low,1,4,2,2,1,1.1218
112,LSH,low,1,5,1,1,1,0.9039
112,LSH,low,1,6,2,2,1,0.9417
112,LSH,low,1,7,2,2,1,0.9832
112,LSH,low,1,8,2,2,1,0.9884
112,LSH,low,1,9,1,1,1,1.2492
112,LSH,low,1,10,2,2,1,0.7945
112,LSH,low,1,11,1,1,1,0.5418
112,LSH,low,1,12,1,1,1,0.7392
113,KYH,low,1,1,1,1,1,0.6379
113,KYH,low,1,2,1,1,1,0.5477
113,KYH,low,1,3,1,1,1,0.5824
113,KYH,low,1,4,2,2,1,1.3056
113,KYH,low,1,5,1,1,1,0.7994
113,KYH,low,1,6,2,2,1,1.3787
113,KYH,low,1,7,2,2,1,1.1990
113,KYH,low,1,8,2,2,1,1.8108
113,KYH,low,1,9,1,1,1,0.6982
113,KYH,low,1,10,1,1,1,0.8895
113,KYH,low,1,11,2,2,1,1.2773
113,KYH,low,1,12,2,2,1,1.0918
114,CJH,low,1,1,1,1,1,0.8530
114,CJH,low,1,2,1,1,1,1.2439
114,CJH,low,1,3,1,1,1,0.4482
114,CJH,low,1,4,2,2,1,1.1385
114,CJH,low,1,5,1,1,1,0.8254
114,CJH,low,1,6,2,2,1,1.4705
114,CJH,low,1,7,2,2,1,1.3830
114,CJH,low,1,8,2,2,1,1.5501
114,CJH,low,1,9,1,1,1,0.8179
114,CJH,low,1,10,1,1,1,0.8844
114,CJH,low,1,11,2,2,1,1.2387
114,CJH,low,1,12,2,2,1,1.0546
115,HYS,low,1,1,2,2,1,1.3202
115,HYS,low,1,2,1,1,1,1.5040
115,HYS,low,1,3,1,1,1,0.7084
115,HYS,low,1,4,1,1,1,1.0415
115,HYS,low,1,5,1,1,1,0.5990
115,HYS,low,1,6,1,1,1,0.6044
115,HYS,low,1,7,2,2,1,1.5272
115,HYS,low,1,8,2,2,1,1.6581
115,HYS,low,1,9,1,1,1,1.1830
115,HYS,low,1,10,2,2,1,1.3287
115,HYS,low,1,11,2,2,1,1.2684
115,HYS,low,1,12,2,2,1,1.1777
116,JGH,low,1,1,2,2,1,1.5005
116,JGH,low,1,2,1,1,1,0.9642
116,JGH,low,1,3,1,1,1,0.5852
116,JGH,low,1,4,1,1,1,1.1704
116,JGH,low,1,5,1,1,1,0.7284
116,JGH,low,1,6,1,2,0,1.6304
116,JGH,low,1,7,2,2,1,1.3063
116,JGH,low,1,8,2,2,1,1.0551
116,JGH,low,1,9,1,1,1,0.5164
116,JGH,low,1,10,2,2,1,1.0420
116,JGH,low,1,11,2,2,1,0.7917
116,JGH,low,1,12,2,2,1,0.9556
123,KYM,low,1,1,1,1,1,1.4409
123,KYM,low,1,2,1,1,1,0.8075
123,KYM,low,1,3,1,1,1,0.5575
123,KYM,low,1,4,1,1,1,0.7917
123,KYM,low,1,5,2,2,1,1.3388
123,KYM,low,1,6,2,2,1,1.1520
123,KYM,low,1,7,2,2,1,1.0056
123,KYM,low,1,8,2,2,1,1.0414
123,KYM,low,1,9,1,1,1,0.7593
123,KYM,low,1,10,2,2,1,0.8470
123,KYM,low,1,11,1,1,1,0.5005
123,KYM,low,1,12,2,2,1,1.3055
124,JSH,low,1,1,1,0,0,0.0000
124,JSH,low,1,2,1,1,1,0.5683
124,JSH,low,1,3,1,1,1,0.5880
124,JSH,low,1,4,1,1,1,0.5856
124,JSH,low,1,5,2,2,1,1.3569
124,JSH,low,1,6,2,2,1,0.8181
124,JSH,low,1,7,2,2,1,0.9296
124,JSH,low,1,8,2,2,1,1.1870
124,JSH,low,1,9,1,2,0,0.8430
124,JSH,low,1,10,2,0,0,0.0000
124,JSH,low,1,11,1,2,0,1.3818
124,JSH,low,1,12,2,2,1,1.0050
127,CHN,low,1,1,1,0,0,0.0000
127,CHN,low,1,2,2,2,1,1.3773
127,CHN,low,1,3,1,1,1,0.9661
127,CHN,low,1,4,1,1,1,0.9763
127,CHN,low,1,5,2,2,1,1.9729
127,CHN,low,1,6,1,1,1,0.6354
127,CHN,low,1,7,2,2,1,1.4281
127,CHN,low,1,8,2,2,1,1.1142
