analyzeJSEv64.m @ 08-Jun-2018 15:53:50

All 64 subjects

Go/Nogo RT trimmed by 3SD
Trimming 4 RTs shorter than 150ms(0.03%) and 169 RTs beyond 3 SD(1.13%).
SID,Group,accWM,rtWM,rtNoCong,rtNoIncg,rtWmCong,rtWmIncg,erNoCong,erNoIncg,erWmCong,erWmIncg,#C1,#C2,#C3,#C4,#I1,#I2,#I3,#I4,<150ms,>3SD
109,lowload,0.9166666667,0.7615818182,330.5105263158,319.9017543860,348.6440677966,345.7068965517,3.3333333333,1.6666666667,0.0000000000,0.0000000000,58,59,60,60,2,1,0,0,0,6
110,lowload,1.0000000000,0.8653000000,380.0983333333,386.5685185185,371.6320754717,381.5346153846,0.0000000000,10.0000000000,11.6666666667,13.3333333333,60,54,53,52,0,6,7,8,0,0
111,lowload,1.0000000000,0.9876916667,321.5421052632,326.4948275862,309.2813559322,342.6661016949,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,7
112,lowload,1.0000000000,1.0531916667,342.7551724138,350.6050847458,356.4610169492,353.0750000000,3.3333333333,0.0000000000,1.6666666667,6.6666666667,58,60,59,56,2,0,1,4,0,1
113,lowload,1.0000000000,1.0181916667,340.3655172414,375.0172413793,337.7474576271,357.3533333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,5
114,lowload,1.0000000000,1.0756833333,358.0781818182,368.3589285714,380.4172413793,389.1641509434,8.3333333333,6.6666666667,3.3333333333,11.6666666667,55,56,58,53,5,4,2,7,0,0
115,lowload,1.0000000000,1.1600500000,375.7152542373,391.7881355932,376.4254237288,385.7716666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,3
116,lowload,0.9166666667,0.9650727273,377.9637931034,367.9654545455,372.1034482759,370.9690909091,3.3333333333,6.6666666667,3.3333333333,8.3333333333,58,56,58,55,2,4,2,5,0,1
123,lowload,1.0000000000,0.9623083333,381.3266666667,371.3900000000,402.0450000000,404.1566666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,0
124,lowload,0.6666666667,0.8798125000,366.2629629630,360.3735849057,387.8589285714,376.4019607843,10.0000000000,11.6666666667,6.6666666667,15.0000000000,54,53,56,51,6,7,4,9,0,0
125,lowload,0.9166666667,0.8101454545,378.6101694915,387.6050847458,379.2000000000,385.3017241379,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,5
126,lowload,1.0000000000,0.8027000000,349.1877192982,353.2896551724,368.8813559322,368.5152542373,5.0000000000,1.6666666667,1.6666666667,1.6666666667,57,59,59,59,3,1,1,1,0,1
127,lowload,0.9166666667,1.1953181818,344.7948275862,354.1186440678,354.0186440678,347.5155172414,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,6
128,lowload,1.0000000000,1.0469583333,380.3037735849,387.4880000000,363.7722222222,366.4482142857,11.6666666667,16.6666666667,10.0000000000,6.6666666667,53,50,54,56,7,10,6,4,0,0
129,lowload,0.7500000000,0.9278777778,333.5033898305,344.4189655172,349.7916666667,353.3966101695,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,1,3
130,lowload,0.9166666667,0.8373727273,325.7183333333,326.7440677966,334.8000000000,328.4116666667,0.0000000000,1.6666666667,0.0000000000,0.0000000000,60,59,60,60,0,1,0,0,0,0
133,lowload,1.0000000000,0.9597000000,331.8379310345,330.5389830508,339.0266666667,324.7237288136,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,4
134,lowload,1.0000000000,0.9315916667,317.8716666667,313.0392857143,318.5448275862,326.2842105263,0.0000000000,5.0000000000,1.6666666667,3.3333333333,60,57,59,58,0,3,1,2,0,3
139,lowload,1.0000000000,1.3014583333,397.1220338983,426.1118644068,411.2983050847,430.6807017544,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,1,5
140,lowload,1.0000000000,1.0519750000,376.6518518519,379.4228070175,395.5327272727,396.6150943396,10.0000000000,5.0000000000,8.3333333333,11.6666666667,54,57,55,53,6,3,5,7,0,0
141,lowload,1.0000000000,1.0479166667,361.4103448276,368.4482758621,369.1172413793,376.9203389831,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,7
142,lowload,0.9166666667,0.8985454545,363.8175438596,352.5339285714,363.0017543860,360.6175438596,5.0000000000,6.6666666667,5.0000000000,5.0000000000,57,56,57,57,3,4,3,3,0,0
143,lowload,0.9166666667,0.8901363636,367.1457627119,385.8866666667,370.1516666667,371.4101694915,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,2
144,lowload,1.0000000000,0.6215833333,331.3900000000,336.6372881356,323.2066666667,326.2716666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,1
151,lowload,0.9166666667,1.2269000000,391.5508474576,389.2862068966,380.8593220339,405.1237288136,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,5
152,lowload,0.9166666667,1.1762909091,393.0369565217,399.2921568627,390.9076923077,391.5277777778,21.6666666667,15.0000000000,13.3333333333,10.0000000000,47,51,52,54,13,9,8,6,0,1
153,lowload,1.0000000000,0.9263416667,394.5118644068,409.5741379310,390.7593220339,402.9084745763,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,5
154,lowload,1.0000000000,0.9891916667,378.5107142857,387.4264150943,387.2428571429,389.8836363636,6.6666666667,11.6666666667,6.6666666667,8.3333333333,56,53,56,55,4,7,4,5,0,0
155,lowload,0.9166666667,0.7590818182,316.8120689655,324.1186440678,324.1866666667,328.8016949153,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,4
156,lowload,0.7500000000,0.8051555556,330.4440677966,322.5881355932,334.6655172414,324.8016949153,1.6666666667,1.6666666667,1.6666666667,0.0000000000,59,59,59,60,1,1,1,0,0,2
157,lowload,0.7500000000,0.9170000000,340.3896551724,357.4728813559,362.7186440678,369.0600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,4
158,lowload,1.0000000000,0.7624000000,309.0534482759,329.6586206897,323.4192982456,341.3793103448,1.6666666667,1.6666666667,1.6666666667,3.3333333333,59,59,59,58,1,1,1,2,0,4
201,highload,0.9166666667,1.2611272727,337.8067796610,350.0796610169,356.4932203390,358.2689655172,0.0000000000,1.6666666667,0.0000000000,1.6666666667,60,59,60,59,0,1,0,1,0,3
202,highload,0.9166666667,0.8736454545,309.0233333333,302.1103448276,313.6620689655,312.4016666667,0.0000000000,3.3333333333,1.6666666667,0.0000000000,60,58,59,60,0,2,1,0,0,1
203,highload,0.5000000000,1.3259833333,449.8450000000,468.9982758621,511.2660714286,532.3016666667,0.0000000000,1.6666666667,3.3333333333,0.0000000000,60,59,58,60,0,1,2,0,0,3
204,highload,0.9166666667,1.1911272727,435.7428571429,434.8480000000,439.3756097561,436.6837209302,18.3333333333,16.6666666667,31.6666666667,28.3333333333,49,50,41,43,11,10,19,17,0,0
205,highload,0.9166666667,1.2776272727,331.3186440678,336.0322033898,335.9366666667,336.4066666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,2
207,highload,0.9166666667,1.0145454545,354.5350000000,343.3762711864,362.1016949153,366.3694915254,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,3
208,highload,0.7500000000,0.9276555556,351.2017241379,336.9660714286,346.5438596491,340.6733333333,3.3333333333,5.0000000000,5.0000000000,0.0000000000,58,57,57,60,2,3,3,0,0,1
217,highload,1.0000000000,1.1266583333,381.8559322034,384.2474576271,372.6700000000,366.3516666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,2
218,highload,1.0000000000,1.2711583333,372.0389830508,371.9854545455,358.5500000000,368.7303571429,1.6666666667,8.3333333333,5.0000000000,6.6666666667,59,55,57,56,1,5,3,4,0,1
219,highload,1.0000000000,1.1432333333,350.6762711864,361.0271186441,376.5559322034,377.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,3
220,highload,1.0000000000,0.7683166667,337.2508474576,332.9593220339,330.1915254237,339.8818181818,0.0000000000,0.0000000000,0.0000000000,8.3333333333,60,60,60,55,0,0,0,5,0,3
221,highload,0.9166666667,1.0340272727,351.6516666667,352.5931034483,362.0966666667,362.1237288136,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,3
222,highload,1.0000000000,0.9337083333,329.5508474576,326.5779661017,329.6724137931,330.8333333333,0.0000000000,1.6666666667,1.6666666667,3.3333333333,60,59,59,58,0,1,1,2,0,3
231,highload,1.0000000000,1.0591000000,385.8816666667,376.5879310345,349.0779661017,367.7152542373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,4
232,highload,0.9166666667,1.2711818182,348.3830508475,357.9237288136,347.5431034483,345.7310344828,0.0000000000,1.6666666667,1.6666666667,1.6666666667,60,59,59,59,0,1,1,1,0,3
233,highload,0.9166666667,1.1007000000,340.9900000000,342.3807017544,356.3086206897,353.9396551724,0.0000000000,3.3333333333,0.0000000000,1.6666666667,60,58,60,59,0,2,0,1,0,4
234,highload,1.0000000000,1.1419000000,329.1118644068,343.6101694915,344.9912280702,336.4474576271,0.0000000000,1.6666666667,5.0000000000,1.6666666667,60,59,57,59,0,1,3,1,0,1
237,highload,0.9166666667,1.0422818182,338.3517241379,340.7661016949,343.3750000000,343.3982758621,1.6666666667,0.0000000000,0.0000000000,1.6666666667,59,60,60,59,1,0,0,1,0,3
238,highload,0.9166666667,1.1474818182,351.4333333333,349.5145454545,364.6589285714,361.3035087719,5.0000000000,5.0000000000,6.6666666667,3.3333333333,57,57,56,58,3,3,4,2,0,3
239,highload,0.6666666667,1.7395500000,384.3000000000,374.5350000000,385.6603448276,392.0448275862,0.0000000000,0.0000000000,1.6666666667,1.6666666667,60,60,59,59,0,0,1,1,1,3
241,highload,0.9166666667,1.0909545455,309.1086206897,320.5189655172,326.0593220339,333.0898305085,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,1,5
242,highload,0.9166666667,0.8357727273,339.6389830508,337.4593220339,337.0931034483,345.6982142857,1.6666666667,1.6666666667,0.0000000000,3.3333333333,59,59,60,58,1,1,0,2,0,4
243,highload,0.7500000000,1.5939111111,423.2898305085,416.9550000000,428.7915254237,412.5142857143,0.0000000000,0.0000000000,0.0000000000,1.6666666667,60,60,60,59,0,0,0,1,0,5
244,highload,1.0000000000,1.4221833333,364.7344827586,366.4537037037,368.7448275862,364.8350877193,1.6666666667,10.0000000000,3.3333333333,5.0000000000,59,54,58,57,1,6,2,3,0,1
251,highload,1.0000000000,1.1556166667,357.8913793103,372.9516666667,365.1100000000,354.0224137931,0.0000000000,0.0000000000,0.0000000000,1.6666666667,60,60,60,59,0,0,0,1,0,3
252,highload,0.7500000000,1.1862888889,355.8303571429,348.1526315789,360.3127272727,360.9464285714,6.6666666667,5.0000000000,8.3333333333,6.6666666667,56,57,55,56,4,3,5,4,0,0
253,highload,0.7500000000,0.9242888889,367.7406779661,354.9203389831,357.2745762712,360.7915254237,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60,60,60,60,0,0,0,0,0,4
254,highload,0.7500000000,1.0165333333,335.5428571429,348.5226415094,334.5509433962,320.2827586207,6.6666666667,11.6666666667,11.6666666667,1.6666666667,56,53,53,59,4,7,7,1,0,1
255,highload,0.9166666667,1.2108181818,345.9017857143,340.1052631579,337.1894736842,362.2000000000,5.0000000000,3.3333333333,1.6666666667,0.0000000000,57,58,59,60,3,2,1,0,0,5
256,highload,0.7500000000,1.2789000000,334.5754385965,331.8381818182,339.2534482759,344.0816666667,5.0000000000,6.6666666667,3.3333333333,0.0000000000,57,56,58,60,3,4,2,0,0,1
257,highload,1.0000000000,0.9962083333,323.9051724138,323.4305084746,346.5915254237,336.8423728814,0.0000000000,1.6666666667,0.0000000000,0.0000000000,60,59,60,60,0,1,0,0,0,4
258,highload,0.9166666667,0.9256636364,306.4135593220,309.8568965517,312.6796610169,323.5033898305,0.0000000000,3.3333333333,0.0000000000,1.6666666667,60,58,60,59,0,2,0,1,0,2



