SID,Group,accWM,rtWM,rtNoCong,rtNoIncg,rtWmCong,rtWmIncg,erNoCong,erNoIncg,erWmCong,erWmIncg
109,lowload,0.916666667,0.761581818,330.5105263,319.9017544,348.6440678,345.7068966,3.333333333,1.666666667,0,0
110,lowload,1,0.8653,380.0983333,386.5685185,371.6320755,381.5346154,0,10,11.66666667,13.33333333
111,lowload,1,0.987691667,321.5421053,326.4948276,309.2813559,342.6661017,0,0,0,0
112,lowload,1,1.053191667,342.7551724,350.6050847,356.4610169,353.075,3.333333333,0,1.666666667,6.666666667
113,lowload,1,1.018191667,340.3655172,375.0172414,337.7474576,357.3533333,0,0,0,0
114,lowload,1,1.075683333,358.0781818,368.3589286,380.4172414,389.1641509,8.333333333,6.666666667,3.333333333,11.66666667
115,lowload,1,1.16005,375.7152542,391.7881356,376.4254237,385.7716667,0,0,0,0
116,lowload,0.916666667,0.965072727,377.9637931,367.9654545,372.1034483,370.9690909,3.333333333,6.666666667,3.333333333,8.333333333
123,lowload,1,0.962308333,381.3266667,371.39,402.045,404.1566667,0,0,0,0
124,lowload,0.666666667,0.8798125,366.262963,360.3735849,387.8589286,376.4019608,10,11.66666667,6.666666667,15
125,lowload,0.916666667,0.810145455,378.6101695,387.6050847,379.2,385.3017241,0,0,0,0
126,lowload,1,0.8027,349.1877193,353.2896552,368.8813559,368.5152542,5,1.666666667,1.666666667,1.666666667
127,lowload,0.916666667,1.195318182,344.7948276,354.1186441,354.0186441,347.5155172,0,0,0,0
128,lowload,1,1.046958333,380.3037736,387.488,363.7722222,366.4482143,11.66666667,16.66666667,10,6.666666667
129,lowload,0.75,0.927877778,333.5033898,344.4189655,349.7916667,353.3966102,0,0,0,0
130,lowload,0.916666667,0.837372727,325.7183333,326.7440678,334.8,328.4116667,0,1.666666667,0,0
133,lowload,1,0.9597,331.837931,330.5389831,339.0266667,324.7237288,0,0,0,0
134,lowload,1,0.931591667,317.8716667,313.0392857,318.5448276,326.2842105,0,5,1.666666667,3.333333333
139,lowload,1,1.301458333,397.1220339,426.1118644,411.2983051,430.6807018,0,0,0,0
140,lowload,1,1.051975,376.6518519,379.422807,395.5327273,396.6150943,10,5,8.333333333,11.66666667
141,lowload,1,1.047916667,361.4103448,368.4482759,369.1172414,376.920339,0,0,0,0
142,lowload,0.916666667,0.898545455,363.8175439,352.5339286,363.0017544,360.6175439,5,6.666666667,5,5
