summarySSEv5_Sinfo.m
SN, NM, LOAD, SEQ, POS, RSP, PAIR
09, KMY, low, Non_High, Left, Red, RG
10, LJE, low, Non_High, Right, Green, RG
11, KJH, low, High_Non, Left, Green, GR
12, LSH, low, High_Non, Right, Red, GR
13, KYH, low, Non_High, Left, Green, GR
14, CJH, low, Non_High, Right, Red, GR
15, HYS, low, High_Non, Left, Red, RG
16, JGH, low, High_Non, Right, Green, RG
23, KYM, low, High_Non, Left, Red, RG
24, JSH, low, High_Non, Right, Green, RG
27, CHN, low, High_Non, Left, Red, RG
28, PSY, low, High_Non, Right, Green, RG
29, JS, low, Non_High, Left, Green, GR
30, KYJ, low, Non_High, Right, Red, GR
33, KMJ, low, Non_High, Left, Green, GR
34, JEH, low, Non_High, Right, Red, GR
25, BTS, low, Non_High, Left, Red, RG
26, JBY, low, Non_High, Right, Green, RG
39, KJE, low, High_Non, Left, Red, RG
40, LHB, low, High_Non, Right, Green, RG
41, LJH, low, Non_High, Left, Green, GR
42, LCH, low, Non_High, Right, Red, GR
43, LHJ, low, High_Non, Left, Green, GR
44, KGY, low, High_Non, Right, Red, GR
53, KJW, low, Non_High, Left, Red, RG
54, PHS, low, Non_High, Right, Green, RG
51, KSH, low, High_Non, Left, Green, GR
52, KTY, low, High_Non, Right, Red, GR
57, DXY, low, Non_High, Left, Red, RG
58, SSY, low, Non_High, Right, Green, RG
55, HDH, low, High_Non, Left, Green, GR
56, HDY, low, High_Non, Right, Red, GR
01, YHJ, high, Non_High, Left, Red, RG
02, LJE, high, Non_High, Right, Green, RG
03, CS, high, High_Non, Left, Green, GR
04, HSJ, high, High_Non, Right, Red, GR
05, KDY, high, Non_High, Left, Green, GR
07, JDH, high, High_Non, Left, Red, RG
08, JSI, high, High_Non, Right, Green, RG
17, KJH, high, Non_High, Left, Red, RG
18, SJW, high, Non_High, Right, Green, RG
21, PSK, high, Non_High, Left, Green, GR
22, LYS, high, Non_High, Right, Red, GR
19, LJH, high, High_Non, Left, Green, GR
20, PDJ, high, High_Non, Right, Red, GR
31, BEY2, high, High_Non, Left, Red, RG
32, JDY2, high, High_Non, Right, Green, RG
33, KKT, high, Non_High, Left, Green, GR
34, KMS, high, Non_High, Right, Red, GR
37, KBH, high, Non_High, Left, Red, RG
38, ASC, high, Non_High, Right, Green, RG
39, PWJ, high, High_Non, Left, Red, RG
41, OYJ, high, Non_High, Left, Green, GR
42, JSY, high, Non_High, Right, Red, GR
43, JSY, high, High_Non, Left, Red, RG
44, PYR, high, High_Non, Right, Green, RG
51, PJW, high, High_Non, Left, Green, GR
52, PJS, high, High_Non, Right, Red, GR
53, KSH, high, Non_High, Left, Red, RG
54, JJY, high, Non_High, Right, Green, RG
55, KBR, high, High_Non, Left, Green, GR
56, LSJ, high, High_Non, Right, Red, GR
57, SSY, high, Non_High, Left, Red, RG
58, LTH, high, Non_High, Right, Green, RG
